CantidadUnidadesVendidas,ventasMayoresA10000,ventasMayoresA20000,CantidadTvsVendidas
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
1358,41,0,36
